task,case_id,expected,predicted,split,reviewer,annotation,notes
relation_support,REL_REL_0774,,1,train,,,"PROHIBIT: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0768,,1,train,,,"ALLOW: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0437,,1,train,,,"REQUIRE: Cá nhân được Nhà nước giao đất, cho thuê đất mà được miễn, giảm tiền sử dụng đất, tiền thuê đất"
relation_support,REL_REL_0621,,1,test,,,REQUIRE: người nhận thừa kế hoặc người đại diện theo ủy quyền bằng văn bản nộp hồ sơ về việc nhận thừa kế
relation_support,REL_REL_0246,,1,train,,,"ALLOW: Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0460,,1,train,,,REQUIRE: Cộng đồng dân cư sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.
relation_support,REL_REL_0775,,1,train,,,"PROHIBIT: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0493,,1,train,,,"ALLOW: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0632,,1,test,,,REQUIRE: Người nhận thừa kế trong các trường hợp quy định tại điểm c khoản 3 và khoản 4 Điều này được ủy quyền bằng văn bản cho người khác trông nom hoặc tạm sử dụng đất và thực hiện nghĩa vụ theo quy định của pháp luật về đất đai và quy định khác của pháp luật có liên quan.
relation_support,REL_REL_0773,,1,train,,,"PROHIBIT: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0362,,1,train,,,REQUIRE: Nhà nước thu hồi đất đó theo quy định của Luật này và pháp luật về hợp tác xã;
relation_support,REL_REL_0103,,1,train,,,"ALLOW: Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận thừa kế quyền sử dụng đất"
relation_support,REL_REL_0524,,1,train,,,"ALLOW: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0777,,1,train,,,"PROHIBIT: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0236,,1,train,,,"ALLOW: Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0267,,1,test,,,"REQUIRE: Đơn vị sự nghiệp công lập được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê để đầu tư xây dựng kinh doanh kết cấu hạ tầng khu công nghiệp, cụm công nghiệp quy định tại khoản 2 Điều 202 của Luật này thì có quyền và nghĩa vụ quy định tại khoản 1 Điều này."
relation_support,REL_REL_0540,,1,train,,,"ALLOW: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0093,,1,train,,,"ALLOW: Tổ chức kinh tế, tổ chức kinh tế có vốn đầu tư nước ngoài nhận góp vốn bằng quyền sử dụng đất"
relation_support,REL_REL_0517,,1,test,,,"ALLOW: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0485,,1,train,,,REQUIRE: có quyền và nghĩa vụ theo điều ước quốc tế đó
relation_support,REL_REL_0455,,1,train,,,ALLOW: có quyền và nghĩa vụ quy định tại khoản 2 Điều 37 của Luật này
relation_support,REL_REL_0534,,1,test,,,"ALLOW: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0228,,1,test,,,"REQUIRE: Tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước giao đất không thu tiền sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này."
