relation_id,relation_type,source,target,evidence,score,label,split
REL_REL_0774,PROHIBIT,subject.state,unassigned.góp_vốn,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này.",0.5,,train
REL_REL_0768,ALLOW,subject.land_user.individual.ethnic_minority,action.transaction.transfer,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này.",0.5,,train
REL_REL_0437,REQUIRE,subject.state,unassigned.cho_thuê_đất,"Cá nhân được Nhà nước giao đất, cho thuê đất mà được miễn, giảm tiền sử dụng đất, tiền thuê đất",0.5,,train
REL_REL_0621,REQUIRE,subject.land_user.individual.heir,action.transaction.inheritance,người nhận thừa kế hoặc người đại diện theo ủy quyền bằng văn bản nộp hồ sơ về việc nhận thừa kế,0.5,,test
REL_REL_0756,ALLOW,subject.land_user.individual.ethnic_minority,action.transaction.transfer,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này được để thừa kế, tặng cho, chuyển nhượng quyền sử dụng đất cho người thuộc hàng thừa kế là đối tượng quy định tại khoản 2 Điều 16 của Luật này.",0.5,,train
REL_REL_0460,REQUIRE,subject.land_user.community,unassigned.quyền_và_nghĩa_vụ_chung,Cộng đồng dân cư sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.,0.5,,train
REL_REL_0775,PROHIBIT,subject.state,action.transaction.donate,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này.",0.5,,train
REL_REL_0517,ALLOW,subject.land_user.foreign.fdi_enterprise,action.transaction.lease,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:",0.5,,test
REL_REL_0534,ALLOW,subject.land_user.foreign.overseas_vietnamese,action.transaction.lease,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:",0.5,,test
REL_REL_0773,PROHIBIT,subject.state,action.transaction.transfer,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này.",0.5,,train
REL_REL_0362,REQUIRE,subject.state,unassigned.thu_hồi_đất,Nhà nước thu hồi đất đó theo quy định của Luật này và pháp luật về hợp tác xã;,0.5,,train
REL_REL_0662,ALLOW,subject.land_user.individual.citizen,action.transaction.transfer,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:",0.5,,train
REL_REL_0524,ALLOW,subject.land_user.foreign.fdi_enterprise,unassigned.giao_đất,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:",0.5,,train
